valid_time,latitude,longitude,t2m,t2m_C,number
01/01/2021,19.05,72.8,298.3456,25.1956,0
01/01/2021,18.8,72.8,298.66147,25.51147,0
02/01/2021,19.05,72.8,298.26297,25.11297,0
02/01/2021,18.8,72.8,298.4026,25.2526,0
03/01/2021,19.05,72.8,297.64035,24.49035,0
03/01/2021,18.8,72.8,297.7191,24.5691,0
04/01/2021,19.05,72.8,297.22733,24.07733,0
04/01/2021,18.8,72.8,297.4315,24.2815,0
05/01/2021,19.05,72.8,297.33853,24.18853,0
05/01/2021,18.8,72.8,297.3995,24.2495,0
06/01/2021,19.05,72.8,297.50485,24.35485,0
06/01/2021,18.8,72.8,297.6248,24.4748,0
07/01/2021,19.05,72.8,297.93106,24.78106,0
07/01/2021,18.8,72.8,298.039,24.889,0
08/01/2021,19.05,72.8,298.33762,25.18762,0
08/01/2021,18.8,72.8,298.5288,25.3788,0
09/01/2021,19.05,72.8,298.67276,25.52276,0
09/01/2021,18.8,72.8,298.68872,25.53872,0
10/01/2021,19.05,72.8,299.26886,26.11886,0
10/01/2021,18.8,72.8,299.21072,26.06072,0
11/01/2021,19.05,72.8,299.86572,26.71572,0
11/01/2021,18.8,72.8,299.83618,26.68618,0
12/01/2021,19.05,72.8,299.98227,26.83227,0
12/01/2021,18.8,72.8,300.01028,26.86028,0
13/01/2021,19.05,72.8,299.6795,26.5295,0
13/01/2021,18.8,72.8,299.8336,26.6836,0
14/01/2021,19.05,72.8,298.61563,25.46563,0
14/01/2021,18.8,72.8,298.9245,25.7745,0
15/01/2021,19.05,72.8,297.85895,24.70895,0
15/01/2021,18.8,72.8,298.12943,24.97943,0
16/01/2021,19.05,72.8,297.39706,24.24706,0
16/01/2021,18.8,72.8,297.65628,24.50628,0
17/01/2021,19.05,72.8,297.7963,24.6463,0
17/01/2021,18.8,72.8,297.99374,24.84374,0
18/01/2021,19.05,72.8,298.2174,25.0674,0
18/01/2021,18.8,72.8,298.44434,25.29434,0
19/01/2021,19.05,72.8,298.60324,25.45324,0
19/01/2021,18.8,72.8,298.70538,25.55538,0
20/01/2021,19.05,72.8,298.4714,25.3214,0
20/01/2021,18.8,72.8,298.6401,25.4901,0
21/01/2021,19.05,72.8,297.30313,24.15313,0
21/01/2021,18.8,72.8,297.5624,24.4124,0
22/01/2021,19.05,72.8,297.64386,24.49386,0
22/01/2021,18.8,72.8,297.66602,24.51602,0
23/01/2021,19.05,72.8,298.15115,25.00115,0
23/01/2021,18.8,72.8,298.26608,25.11608,0
24/01/2021,19.05,72.8,297.9049,24.7549,0
24/01/2021,18.8,72.8,298.07346,24.92346,0
25/01/2021,19.05,72.8,297.14468,23.99468,0
25/01/2021,18.8,72.8,297.4104,24.2604,0
26/01/2021,19.05,72.8,296.45132,23.30132,0
26/01/2021,18.8,72.8,296.72232,23.57232,0
27/01/2021,19.05,72.8,296.37927,23.22927,0
27/01/2021,18.8,72.8,296.5458,23.3958,0
28/01/2021,19.05,72.8,296.39706,23.24706,0
28/01/2021,18.8,72.8,296.60892,23.45892,0
29/01/2021,19.05,72.8,296.657,23.507,0
29/01/2021,18.8,72.8,296.84055,23.69055,0
30/01/2021,19.05,72.8,297.23727,24.08727,0
30/01/2021,18.8,72.8,297.49857,24.34857,0
31/01/2021,19.05,72.8,297.60538,24.45538,0
31/01/2021,18.8,72.8,297.81204,24.66204,0
01/02/2021,19.05,72.8,298.67886,25.52886,0
01/02/2021,18.8,72.8,298.73648,25.58648,0
02/02/2021,19.05,72.8,298.97974,25.82974,0
02/02/2021,18.8,72.8,299.12903,25.97903,0
03/02/2021,19.05,72.8,298.34064,25.19064,0
03/02/2021,18.8,72.8,298.3557,25.2057,0
04/02/2021,19.05,72.8,297.9336,24.7836,0
04/02/2021,18.8,72.8,297.93423,24.78423,0
05/02/2021,19.05,72.8,297.8942,24.7442,0
05/02/2021,18.8,72.8,297.9736,24.8236,0
06/02/2021,19.05,72.8,298.18533,25.03533,0
06/02/2021,18.8,72.8,298.28616,25.13616,0
07/02/2021,19.05,72.8,298.4164,25.2664,0
07/02/2021,18.8,72.8,298.574,25.424,0
08/02/2021,19.05,72.8,298.29428,25.14428,0
08/02/2021,18.8,72.8,298.53146,25.38146,0
09/02/2021,19.05,72.8,298.19034,25.04034,0
09/02/2021,18.8,72.8,298.30228,25.15228,0
10/02/2021,19.05,72.8,298.0153,24.8653,0
10/02/2021,18.8,72.8,298.01584,24.86584,0
11/02/2021,19.05,72.8,298.11404,24.96404,0
11/02/2021,18.8,72.8,298.09488,24.94488,0
12/02/2021,19.05,72.8,298.21808,25.06808,0
12/02/2021,18.8,72.8,298.1743,25.0243,0
13/02/2021,19.05,72.8,297.9061,24.7561,0
13/02/2021,18.8,72.8,297.92325,24.77325,0
14/02/2021,19.05,72.8,297.92273,24.77273,0
14/02/2021,18.8,72.8,297.88333,24.73333,0
15/02/2021,19.05,72.8,297.71643,24.56643,0
15/02/2021,18.8,72.8,297.731,24.581,0
16/02/2021,19.05,72.8,297.3268,24.1768,0
16/02/2021,18.8,72.8,297.28458,24.13458,0
17/02/2021,19.05,72.8,297.6899,24.5399,0
17/02/2021,18.8,72.8,297.52588,24.37588,0
18/02/2021,19.05,72.8,298.58792,25.43792,0
18/02/2021,18.8,72.8,298.42993,25.27993,0
19/02/2021,19.05,72.8,298.94366,25.79366,0
19/02/2021,18.8,72.8,298.94055,25.79055,0
20/02/2021,19.05,72.8,298.7773,25.6273,0
20/02/2021,18.8,72.8,298.73917,25.58917,0
21/02/2021,19.05,72.8,299.52356,26.37356,0
21/02/2021,18.8,72.8,299.44724,26.29724,0
22/02/2021,19.05,72.8,299.68573,26.53573,0
22/02/2021,18.8,72.8,299.59497,26.44497,0
23/02/2021,19.05,72.8,299.64163,26.49163,0
23/02/2021,18.8,72.8,299.5205,26.3705,0
24/02/2021,19.05,72.8,299.97815,26.82815,0
24/02/2021,18.8,72.8,299.74124,26.59124,0
25/02/2021,19.05,72.8,300.00192,26.85192,0
25/02/2021,18.8,72.8,299.80872,26.65872,0
26/02/2021,19.05,72.8,299.28842,26.13842,0
26/02/2021,18.8,72.8,299.22794,26.07794,0
27/02/2021,19.05,72.8,299.329,26.179,0
27/02/2021,18.8,72.8,299.19867,26.04867,0
28/02/2021,19.05,72.8,300.17017,27.02017,0
28/02/2021,18.8,72.8,299.9824,26.8324,0
01/03/2021,19.05,72.8,300.91946,27.76946,0
01/03/2021,18.8,72.8,300.65225,27.50225,0
02/03/2021,19.05,72.8,300.95798,27.80798,0
02/03/2021,18.8,72.8,300.7954,27.6454,0
03/03/2021,19.05,72.8,300.55786,27.40786,0
03/03/2021,18.8,72.8,300.37198,27.22198,0
04/03/2021,19.05,72.8,301.00574,27.85574,0
04/03/2021,18.8,72.8,300.74405,27.59405,0
05/03/2021,19.05,72.8,300.70706,27.55706,0
05/03/2021,18.8,72.8,300.2317,27.0817,0
06/03/2021,19.05,72.8,299.66028,26.51028,0
06/03/2021,18.8,72.8,299.59915,26.44915,0
07/03/2021,19.05,72.8,298.93723,25.78723,0
07/03/2021,18.8,72.8,298.996,25.846,0
08/03/2021,19.05,72.8,299.70905,26.55905,0
08/03/2021,18.8,72.8,299.65735,26.50735,0
09/03/2021,19.05,72.8,300.43222,27.28222,0
09/03/2021,18.8,72.8,300.18747,27.03747,0
10/03/2021,19.05,72.8,300.60385,27.45385,0
10/03/2021,18.8,72.8,300.40836,27.25836,0
11/03/2021,19.05,72.8,299.95792,26.80792,0
11/03/2021,18.8,72.8,299.83557,26.68557,0
12/03/2021,19.05,72.8,299.77017,26.62017,0
12/03/2021,18.8,72.8,299.62967,26.47967,0
13/03/2021,19.05,72.8,301.05026,27.90026,0
13/03/2021,18.8,72.8,300.91635,27.76635,0
14/03/2021,19.05,72.8,301.18466,28.03466,0
14/03/2021,18.8,72.8,300.9964,27.8464,0
15/03/2021,19.05,72.8,301.45557,28.30557,0
15/03/2021,18.8,72.8,301.10617,27.95617,0
16/03/2021,19.05,72.8,301.2352,28.0852,0
16/03/2021,18.8,72.8,300.94266,27.79266,0
17/03/2021,19.05,72.8,301.08682,27.93682,0
17/03/2021,18.8,72.8,300.79037,27.64037,0
18/03/2021,19.05,72.8,300.69754,27.54754,0
18/03/2021,18.8,72.8,300.50854,27.35854,0
19/03/2021,19.05,72.8,300.48798,27.33798,0
19/03/2021,18.8,72.8,300.31488,27.16488,0
20/03/2021,19.05,72.8,299.5984,26.4484,0
20/03/2021,18.8,72.8,299.461,26.311,0
21/03/2021,19.05,72.8,299.80008,26.65008,0
21/03/2021,18.8,72.8,299.63516,26.48516,0
22/03/2021,19.05,72.8,300.46304,27.31304,0
22/03/2021,18.8,72.8,300.2911,27.1411,0
23/03/2021,19.05,72.8,300.97485,27.82485,0
23/03/2021,18.8,72.8,300.7518,27.6018,0
24/03/2021,19.05,72.8,301.79898,28.64898,0
24/03/2021,18.8,72.8,301.50986,28.35986,0
25/03/2021,19.05,72.8,302.786,29.636,0
25/03/2021,18.8,72.8,302.50735,29.35735,0
26/03/2021,19.05,72.8,302.52676,29.37676,0
26/03/2021,18.8,72.8,302.32065,29.17065,0
27/03/2021,19.05,72.8,303.00327,29.85327,0
27/03/2021,18.8,72.8,302.69443,29.54443,0
28/03/2021,19.05,72.8,301.6321,28.4821,0
28/03/2021,18.8,72.8,301.43716,28.28716,0
29/03/2021,19.05,72.8,300.74057,27.59057,0
29/03/2021,18.8,72.8,300.5723,27.4223,0
30/03/2021,19.05,72.8,300.37402,27.22402,0
30/03/2021,18.8,72.8,300.22537,27.07537,0
31/03/2021,19.05,72.8,299.98593,26.83593,0
31/03/2021,18.8,72.8,299.84143,26.69143,0
01/04/2021,19.05,72.8,300.3586,27.2086,0
01/04/2021,18.8,72.8,300.2089,27.0589,0
02/04/2021,19.05,72.8,300.22272,27.07272,0
02/04/2021,18.8,72.8,300.03482,26.88482,0
03/04/2021,19.05,72.8,299.81998,26.66998,0
03/04/2021,18.8,72.8,299.54105,26.39105,0
04/04/2021,19.05,72.8,300.46005,27.31005,0
04/04/2021,18.8,72.8,300.08905,26.93905,0
05/04/2021,19.05,72.8,300.71506,27.56506,0
05/04/2021,18.8,72.8,300.38824,27.23824,0
06/04/2021,19.05,72.8,301.96182,28.81182,0
06/04/2021,18.8,72.8,301.65897,28.50897,0
07/04/2021,19.05,72.8,301.7097,28.5597,0
07/04/2021,18.8,72.8,301.45828,28.30828,0
08/04/2021,19.05,72.8,301.06927,27.91927,0
08/04/2021,18.8,72.8,300.87863,27.72863,0
09/04/2021,19.05,72.8,300.87463,27.72463,0
09/04/2021,18.8,72.8,300.56433,27.41433,0
10/04/2021,19.05,72.8,301.11057,27.96057,0
10/04/2021,18.8,72.8,300.85892,27.70892,0
11/04/2021,19.05,72.8,301.51187,28.36187,0
11/04/2021,18.8,72.8,301.22617,28.07617,0
12/04/2021,19.05,72.8,301.75806,28.60806,0
12/04/2021,18.8,72.8,301.45477,28.30477,0
13/04/2021,19.05,72.8,302.16678,29.01678,0
13/04/2021,18.8,72.8,301.86868,28.71868,0
14/04/2021,19.05,72.8,302.28363,29.13363,0
14/04/2021,18.8,72.8,302.0278,28.8778,0
15/04/2021,19.05,72.8,301.8304,28.6804,0
15/04/2021,18.8,72.8,301.6019,28.4519,0
16/04/2021,19.05,72.8,301.5706,28.4206,0
16/04/2021,18.8,72.8,301.24304,28.09304,0
17/04/2021,19.05,72.8,301.5115,28.3615,0
17/04/2021,18.8,72.8,301.19617,28.04617,0
18/04/2021,19.05,72.8,302.2863,29.1363,0
