valid_time,latitude,longitude,t2m,t2m_C,number
01/01/2023,19.05,72.8,296.25308,23.10308,0
01/01/2023,18.8,72.8,296.4976,23.3476,0
02/01/2023,19.05,72.8,296.8266,23.6766,0
02/01/2023,18.8,72.8,297.1205,23.9705,0
03/01/2023,19.05,72.8,296.86142,23.71142,0
03/01/2023,18.8,72.8,297.13705,23.98705,0
04/01/2023,19.05,72.8,296.79276,23.64276,0
04/01/2023,18.8,72.8,297.03622,23.88622,0
05/01/2023,19.05,72.8,297.30252,24.15252,0
05/01/2023,18.8,72.8,297.5328,24.3828,0
06/01/2023,19.05,72.8,298.17026,25.02026,0
06/01/2023,18.8,72.8,298.33752,25.18752,0
07/01/2023,19.05,72.8,298.7025,25.5525,0
07/01/2023,18.8,72.8,298.94296,25.79296,0
08/01/2023,19.05,72.8,298.49182,25.34182,0
08/01/2023,18.8,72.8,298.6518,25.5018,0
09/01/2023,19.05,72.8,297.77466,24.62466,0
09/01/2023,18.8,72.8,298.00803,24.85803,0
10/01/2023,19.05,72.8,297.46268,24.31268,0
10/01/2023,18.8,72.8,297.67563,24.52563,0
11/01/2023,19.05,72.8,297.1993,24.0493,0
11/01/2023,18.8,72.8,297.2784,24.1284,0
12/01/2023,19.05,72.8,296.4713,23.3213,0
12/01/2023,18.8,72.8,296.59625,23.44625,0
13/01/2023,19.05,72.8,295.92166,22.77166,0
13/01/2023,18.8,72.8,296.0715,22.9215,0
14/01/2023,19.05,72.8,295.0226,21.8726,0
14/01/2023,18.8,72.8,295.15176,22.00176,0
15/01/2023,19.05,72.8,294.91476,21.76476,0
15/01/2023,18.8,72.8,295.06433,21.91433,0
16/01/2023,19.05,72.8,295.0461,21.8961,0
16/01/2023,18.8,72.8,295.22382,22.07382,0
17/01/2023,19.05,72.8,295.13797,21.98797,0
17/01/2023,18.8,72.8,295.308,22.158,0
18/01/2023,19.05,72.8,295.70645,22.55645,0
18/01/2023,18.8,72.8,295.9132,22.7632,0
19/01/2023,19.05,72.8,296.01852,22.86852,0
19/01/2023,18.8,72.8,296.18378,23.03378,0
20/01/2023,19.05,72.8,296.1097,22.9597,0
20/01/2023,18.8,72.8,296.3793,23.2293,0
21/01/2023,19.05,72.8,295.97403,22.82403,0
21/01/2023,18.8,72.8,296.16873,23.01873,0
22/01/2023,19.05,72.8,295.6068,22.4568,0
22/01/2023,18.8,72.8,295.77774,22.62774,0
23/01/2023,19.05,72.8,295.13654,21.98654,0
23/01/2023,18.8,72.8,295.2999,22.1499,0
24/01/2023,19.05,72.8,294.83133,21.68133,0
24/01/2023,18.8,72.8,294.97736,21.82736,0
25/01/2023,19.05,72.8,294.8168,21.6668,0
25/01/2023,18.8,72.8,294.9637,21.8137,0
26/01/2023,19.05,72.8,295.3442,22.1942,0
26/01/2023,18.8,72.8,295.33395,22.18395,0
27/01/2023,19.05,72.8,296.96353,23.81353,0
27/01/2023,18.8,72.8,296.9501,23.8001,0
28/01/2023,19.05,72.8,297.03143,23.88143,0
28/01/2023,18.8,72.8,297.0892,23.9392,0
29/01/2023,19.05,72.8,296.6199,23.4699,0
29/01/2023,18.8,72.8,296.72913,23.57913,0
30/01/2023,19.05,72.8,296.6141,23.4641,0
30/01/2023,18.8,72.8,296.56738,23.41738,0
31/01/2023,19.05,72.8,297.5493,24.3993,0
31/01/2023,18.8,72.8,297.4479,24.2979,0
01/02/2023,19.05,72.8,298.44882,25.29882,0
01/02/2023,18.8,72.8,298.53162,25.38162,0
02/02/2023,19.05,72.8,298.62985,25.47985,0
02/02/2023,18.8,72.8,298.6558,25.5058,0
03/02/2023,19.05,72.8,298.10843,24.95843,0
03/02/2023,18.8,72.8,298.1981,25.0481,0
04/02/2023,19.05,72.8,297.73862,24.58862,0
04/02/2023,18.8,72.8,297.8219,24.6719,0
05/02/2023,19.05,72.8,297.79547,24.64547,0
05/02/2023,18.8,72.8,297.68985,24.53985,0
06/02/2023,19.05,72.8,297.7642,24.6142,0
06/02/2023,18.8,72.8,297.61264,24.46264,0
07/02/2023,19.05,72.8,297.68918,24.53918,0
07/02/2023,18.8,72.8,297.603,24.453,0
08/02/2023,19.05,72.8,297.86578,24.71578,0
08/02/2023,18.8,72.8,297.73724,24.58724,0
09/02/2023,19.05,72.8,298.3182,25.1682,0
09/02/2023,18.8,72.8,298.18365,25.03365,0
10/02/2023,19.05,72.8,298.0222,24.8722,0
10/02/2023,18.8,72.8,297.9674,24.8174,0
11/02/2023,19.05,72.8,297.79996,24.64996,0
11/02/2023,18.8,72.8,297.80563,24.65563,0
12/02/2023,19.05,72.8,298.55856,25.40856,0
12/02/2023,18.8,72.8,298.4498,25.2998,0
13/02/2023,19.05,72.8,298.87296,25.72296,0
13/02/2023,18.8,72.8,298.83624,25.68624,0
14/02/2023,19.05,72.8,298.3525,25.2025,0
14/02/2023,18.8,72.8,298.34134,25.19134,0
15/02/2023,19.05,72.8,298.53146,25.38146,0
15/02/2023,18.8,72.8,298.52875,25.37875,0
16/02/2023,19.05,72.8,299.40903,26.25903,0
16/02/2023,18.8,72.8,299.34628,26.19628,0
17/02/2023,19.05,72.8,299.71872,26.56872,0
17/02/2023,18.8,72.8,299.71835,26.56835,0
18/02/2023,19.05,72.8,299.56924,26.41924,0
18/02/2023,18.8,72.8,299.5627,26.4127,0
19/02/2023,19.05,72.8,299.33786,26.18786,0
19/02/2023,18.8,72.8,299.22055,26.07055,0
20/02/2023,19.05,72.8,298.90808,25.75808,0
20/02/2023,18.8,72.8,298.83554,25.68554,0
21/02/2023,19.05,72.8,298.7005,25.5505,0
21/02/2023,18.8,72.8,298.72458,25.57458,0
22/02/2023,19.05,72.8,298.23843,25.08843,0
22/02/2023,18.8,72.8,298.27597,25.12597,0
23/02/2023,19.05,72.8,298.67624,25.52624,0
23/02/2023,18.8,72.8,298.7782,25.6282,0
24/02/2023,19.05,72.8,299.6036,26.4536,0
24/02/2023,18.8,72.8,299.69388,26.54388,0
25/02/2023,19.05,72.8,299.58078,26.43078,0
25/02/2023,18.8,72.8,299.6613,26.5113,0
26/02/2023,19.05,72.8,299.77567,26.62567,0
26/02/2023,18.8,72.8,299.896,26.746,0
27/02/2023,19.05,72.8,299.9412,26.7912,0
27/02/2023,18.8,72.8,299.94345,26.79345,0
28/02/2023,19.05,72.8,299.24332,26.09332,0
28/02/2023,18.8,72.8,299.2416,26.0916,0
01/03/2023,19.05,72.8,299.2664,26.1164,0
01/03/2023,18.8,72.8,299.2839,26.1339,0
02/03/2023,19.05,72.8,300.07565,26.92565,0
02/03/2023,18.8,72.8,299.89343,26.74343,0
03/03/2023,19.05,72.8,300.2555,27.1055,0
03/03/2023,18.8,72.8,299.99344,26.84344,0
04/03/2023,19.05,72.8,300.03687,26.88687,0
04/03/2023,18.8,72.8,299.96423,26.81423,0
05/03/2023,19.05,72.8,300.57663,27.42663,0
05/03/2023,18.8,72.8,300.36676,27.21676,0
06/03/2023,19.05,72.8,301.0154,27.8654,0
06/03/2023,18.8,72.8,300.67404,27.52404,0
07/03/2023,19.05,72.8,300.7089,27.5589,0
07/03/2023,18.8,72.8,301.0706,27.9206,0
08/03/2023,19.05,72.8,299.95612,26.80612,0
08/03/2023,18.8,72.8,300.05875,26.90875,0
09/03/2023,19.05,72.8,301.1346,27.9846,0
09/03/2023,18.8,72.8,301.16122,28.01122,0
10/03/2023,19.05,72.8,300.9364,27.7864,0
10/03/2023,18.8,72.8,300.98853,27.83853,0
11/03/2023,19.05,72.8,300.95584,27.80584,0
11/03/2023,18.8,72.8,300.9644,27.8144,0
12/03/2023,19.05,72.8,301.12964,27.97964,0
12/03/2023,18.8,72.8,301.0193,27.8693,0
13/03/2023,19.05,72.8,300.71396,27.56396,0
13/03/2023,18.8,72.8,300.74088,27.59088,0
14/03/2023,19.05,72.8,300.93045,27.78045,0
14/03/2023,18.8,72.8,300.78146,27.63146,0
15/03/2023,19.05,72.8,300.87918,27.72918,0
15/03/2023,18.8,72.8,300.60056,27.45056,0
16/03/2023,19.05,72.8,299.96918,26.81918,0
16/03/2023,18.8,72.8,300.08066,26.93066,0
17/03/2023,19.05,72.8,299.63834,26.48834,0
17/03/2023,18.8,72.8,299.52887,26.37887,0
18/03/2023,19.05,72.8,299.55188,26.40188,0
18/03/2023,18.8,72.8,299.5408,26.3908,0
19/03/2023,19.05,72.8,299.13562,25.98562,0
19/03/2023,18.8,72.8,299.0896,25.9396,0
20/03/2023,19.05,72.8,299.05048,25.90048,0
20/03/2023,18.8,72.8,299.01218,25.86218,0
21/03/2023,19.05,72.8,298.75186,25.60186,0
21/03/2023,18.8,72.8,298.721,25.571,0
22/03/2023,19.05,72.8,299.51352,26.36352,0
22/03/2023,18.8,72.8,299.40356,26.25356,0
23/03/2023,19.05,72.8,299.3647,26.2147,0
23/03/2023,18.8,72.8,299.29556,26.14556,0
24/03/2023,19.05,72.8,299.59805,26.44805,0
24/03/2023,18.8,72.8,299.52914,26.37914,0
25/03/2023,19.05,72.8,299.13596,25.98596,0
25/03/2023,18.8,72.8,299.0195,25.8695,0
26/03/2023,19.05,72.8,298.8035,25.6535,0
26/03/2023,18.8,72.8,298.78952,25.63952,0
27/03/2023,19.05,72.8,299.04065,25.89065,0
27/03/2023,18.8,72.8,298.94775,25.79775,0
28/03/2023,19.05,72.8,299.3096,26.1596,0
28/03/2023,18.8,72.8,299.14975,25.99975,0
29/03/2023,19.05,72.8,299.42236,26.27236,0
29/03/2023,18.8,72.8,299.28726,26.13726,0
30/03/2023,19.05,72.8,299.3556,26.2056,0
30/03/2023,18.8,72.8,299.1682,26.0182,0
31/03/2023,19.05,72.8,299.82608,26.67608,0
31/03/2023,18.8,72.8,299.70215,26.55215,0
01/04/2023,19.05,72.8,299.50894,26.35894,0
01/04/2023,18.8,72.8,299.3697,26.2197,0
